City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,13,NA,34,6236420.65,5848439.56,5507002,5661332,5500100.08,5084129,4936420,4933173,5022157,5391214,2962601,2458953.88,2318213.73,2796775,3065178,2202508,2247740,2268302,2359109,2507473,21447280.07,23285135.95,24450697.54,21867249.46,26429339.92,20103409,21629861,22140093,24045420,25648356
Jabalpur,14,NA,27,5045310,5208389.86,6101794,7212723.87,6755252,5432395,5551720,5698587,5704842,6048717,209197,151995,209099,284459.5,257670,229403,234407,240361,240326,265626,2542126,2365301,2550576,3485319,3480017,2405211,2720354,2730060,3362753,3784822
Jabalpur,14,NA,28,5564832,5718754,6184478,7974216,8000386,6171778,6191538,6389565,6679559,7109190,80353,54563.95,115130,77374,161712,76291,79303,100229,82935,93828,2563532,2485783,2464980,3793626,3535215.14,2482601,2691728,2811594,3170313,3447842
Jabalpur,14,NA,35,8283993,12048831.12,10764899.98,12693833,11997170,9553729,9790150,10154701,10364562,11156259,75099,96924,151533,217245,223212,139177,143164,136874,140824,166542,7375275,8322534,8169451,9515513,13333915.09,7500615,8079935,8663905,10095781,12743444
Jabalpur,14,NA,38,1885701,2048092,2763991,2749089,2257517,2023852,2066414,1945976,2053507,2252357,153478,84967,157898,237883,220702,171716,189409,202078,215712,218124,2769711,2574265,2826347,3413805,3298005,2579298,2772066,3068961,3994452,4624436
Jabalpur,14,NA,39,2154432,2731748,3385930,4220578,3561287,2302789,2461203,2656019,2790222,3136317,24119,47165,53917,83267,105871,45456,58597,58964,75695,63004,655679,574260,1036743,1060599,1290291,782251,850800,1298612,1619947,2014502
Jabalpur,14,NA,40,845572,888904,1169481,1365631,1169595,808439,840965,927819,942310,1112599,17632,28493,27058,33500,40878,28964,29210,32619,33450,51715,866813,761391,925773,1089650,973977,770422,920071,1050615,1187218,1554060
Jabalpur,15,NA,72,0,0,3311647,7970650.5,11197920,79492,82065,8761699,9063971,9999878,0,0,33725,146067,243192,0,0,165884,194136,192656,0,0,1659927,4543918,6830700,0,4887,3995517,4982660,6255325
Jabalpur,15,NA,73,0,0,3162969,7411739.48,8369404.46,0,3187,8082677,7989874,8916639,0,0,40472,85905,99537,0,0,89672,90513,94635,0,0,2830646,7136849,8412068,0,20102,6377130,7585920,9660661
Jabalpur,15,NA,74,0,0,2127466,4905636,5671078.98,173,12223,5978081,5501930,6018318,0,0,18566,63980,88817,0,250,93046,85729,90414,0,0,418723,1085441,1426713,0,0,1529890,1374848,1890320
Jabalpur,15,NA,75,0,0,1745985,5568306,8132074.26,2209,7891,7219924,6919989,7595730,0,0,67649,202012,233003,0,0,263855,245067,301111,0,0,373351,1788189,1868614,0,322,1838347,1862663,2526562
Jabalpur,15,NA,76,0,0,602299,2321646,3488821,0,1616,3471053,3233411,3499385,0,0,4380,28989,27461,0,0,36724,35836,42624,0,0,76936,672272,1060762,0,468,890146,822976,1087165
Jabalpur,15,NA,77,0,0,3161024,6366769,6750283.35,173,4017,6923994,6774956,7486849,0,0,34381,161430,136183,0,0,169142,146126,181083,0,0,504357,1081035,1464743,0,150,1179768,1170276,1612575
Jabalpur,15,NA,78,0,0,1350912,3429488,3707119,1043,6309,3772663,3605435,3877643,0,0,10003,26436,30180,0,0,41174,38163,42409,0,0,127658,561316,430592,0,0,540791,499694,561737
